Dates,usdacmecftc,customdict
2005-01-13,1.5498260458782016,2.7334017778086714
2005-01-14,1.5498260458782016,2.7334017778086714
2005-01-15,1.5498260458782016,2.7334017778086714
2005-01-16,1.5498260458782016,2.7334017778086714
2005-01-17,1.5498260458782016,2.7334017778086714
2005-01-18,1.5498260458782016,2.7334017778086714
2005-01-19,1.5498260458782016,2.7334017778086714
2005-01-20,1.5498260458782016,2.7334017778086714
2005-01-21,1.5498260458782016,2.7334017778086714
2005-01-22,1.5498260458782016,2.7334017778086714
2005-01-23,1.5498260458782016,2.7334017778086714
2005-01-24,1.5498260458782016,2.7334017778086714
2005-01-25,1.5498260458782016,2.7334017778086714
2005-01-26,1.5498260458782016,2.7334017778086714
2005-01-27,1.5498260458782016,2.7334017778086714
2005-01-28,1.5498260458782016,2.7334017778086714
2005-01-29,1.5498260458782016,2.7334017778086714
2005-01-30,2.070024937273266,2.6624316097042717
2005-01-31,2.070024937273266,2.6624316097042717
2005-02-01,2.070024937273266,2.6624316097042717
2005-02-02,2.070024937273266,2.6624316097042717
2005-02-03,2.070024937273266,2.6624316097042717
2005-02-04,2.070024937273266,2.6624316097042717
2005-02-05,2.070024937273266,2.6624316097042717
2005-02-06,2.070024937273266,2.6624316097042717
2005-02-07,2.070024937273266,2.6624316097042717
2005-02-08,2.070024937273266,2.6624316097042717
2005-02-09,2.070024937273266,2.6624316097042717
2005-02-10,2.070024937273266,2.6624316097042717
2005-02-11,2.0844930052368578,2.3907803126616582
2005-02-12,2.0844930052368578,2.3907803126616582
2005-02-13,2.0844930052368578,2.3907803126616582
2005-02-14,2.0844930052368578,2.3907803126616582
2005-02-15,2.0844930052368578,2.3907803126616582
2005-02-16,2.0844930052368578,2.3907803126616582
2005-02-17,2.0844930052368578,2.3907803126616582
2005-02-18,2.0844930052368578,2.3907803126616582
2005-02-19,2.0844930052368578,2.3907803126616582
2005-02-20,2.0844930052368578,2.3907803126616582
2005-02-21,2.0844930052368578,2.3907803126616582
2005-02-22,2.0844930052368578,2.3907803126616582
2005-02-23,2.0844930052368578,2.3907803126616582
2005-02-24,2.0844930052368578,2.3907803126616582
2005-02-25,2.0844930052368578,2.3907803126616582
2005-02-26,2.0844930052368578,2.3907803126616582
2005-02-27,2.0844930052368578,2.3907803126616582
2005-02-28,2.0844930052368578,2.3907803126616582
2005-03-01,2.0844930052368578,2.3907803126616582
2005-03-02,2.0844930052368578,2.3907803126616582
2005-03-03,2.0844930052368578,2.3907803126616582
2005-03-04,2.0844930052368578,2.3907803126616582
2005-03-05,2.0844930052368578,2.3907803126616582
2005-03-06,2.0844930052368578,2.3907803126616582
2005-03-07,2.0844930052368578,2.3907803126616582
2005-03-08,2.0844930052368578,2.3907803126616582
2005-03-09,2.0844930052368578,2.3907803126616582
2005-03-10,2.0844930052368578,2.3907803126616582
2005-03-11,2.0844930052368578,2.3907803126616582
2005-03-12,2.0844930052368578,2.3907803126616582
2005-03-13,2.0844930052368578,2.3907803126616582
2005-03-14,2.0844930052368578,2.3907803126616582
2005-03-15,2.0844930052368578,2.3907803126616582
2005-03-16,2.0844930052368578,2.3907803126616582
2005-03-17,2.0844930052368578,2.3907803126616582
2005-03-18,2.0844930052368578,2.3907803126616582
2005-03-19,2.0844930052368578,2.3907803126616582
2005-03-20,2.0844930052368578,2.3907803126616582
2005-03-21,2.0844930052368578,2.3907803126616582
2005-03-22,2.0844930052368578,2.3907803126616582
2005-03-23,2.0844930052368578,2.3907803126616582
2005-03-24,2.0844930052368578,2.3907803126616582
2005-03-25,2.0844930052368578,2.3907803126616582
2005-03-26,2.0844930052368578,2.3907803126616582
2005-03-27,2.0844930052368578,2.3907803126616582
2005-03-28,2.0844930052368578,2.3907803126616582
2005-03-29,2.0844930052368578,2.3907803126616582
2005-03-30,2.0844930052368578,2.3907803126616582
2005-03-31,2.0844930052368578,2.3907803126616582
2005-04-01,2.0844930052368578,2.3907803126616582
2005-04-02,2.0844930052368578,2.3907803126616582
2005-04-03,2.0844930052368578,2.3907803126616582
2005-04-04,2.0844930052368578,2.3907803126616582
2005-04-05,2.0844930052368578,2.3907803126616582
2005-04-06,2.0844930052368578,2.3907803126616582
2005-04-07,2.0844930052368578,2.3907803126616582
2005-04-08,2.0844930052368578,2.3907803126616582
2005-04-09,2.0844930052368578,2.3907803126616582
2005-04-10,2.0844930052368578,2.3907803126616582
2005-04-11,2.0844930052368578,2.3907803126616582
2005-04-12,2.0844930052368578,2.3907803126616582
2005-04-13,2.0844930052368578,2.3907803126616582
2005-04-14,2.0844930052368578,2.3907803126616582
2005-04-15,2.0844930052368578,2.3907803126616582
2005-04-16,2.0844930052368578,2.3907803126616582
2005-04-17,2.0844930052368578,2.3907803126616582
2005-04-18,2.0844930052368578,2.3907803126616582
2005-04-19,2.0844930052368578,2.3907803126616582
2005-04-20,2.0844930052368578,2.3907803126616582
2005-04-21,2.0844930052368578,2.3907803126616582
2005-04-22,2.0844930052368578,2.3907803126616582
2005-04-23,2.0844930052368578,2.3907803126616582
2005-04-24,2.0844930052368578,2.3907803126616582
2005-04-25,2.0844930052368578,2.3907803126616582
2005-04-26,2.0844930052368578,2.3907803126616582
2005-04-27,2.0844930052368578,2.3907803126616582
2005-04-28,2.0844930052368578,2.3907803126616582
2005-04-29,2.0844930052368578,2.3907803126616582
2005-04-30,2.0844930052368578,2.3907803126616582
2005-05-01,2.0844930052368578,2.3907803126616582
2005-05-02,2.0844930052368578,2.3907803126616582
2005-05-03,2.0844930052368578,2.3907803126616582
