Dates,usdacmecftc,customdict
2005-01-02,2.0412300898850155,2.5812949150229816
2005-01-03,1.653898068165828,2.1873598746780947
2005-01-04,1.5311527299528556,2.122706715881232
2005-01-05,1.6123358315215175,2.1684147599042203
2005-01-06,1.5709117226047693,2.054976520271615
2005-01-07,1.506332163738065,2.1416132865784925
2005-01-08,1.506332163738065,2.1416132865784925
2005-01-09,1.506332163738065,2.1416132865784925
2005-01-10,1.6936086972431474,2.228257135305616
2005-01-11,1.4746232243263009,2.049499504493354
2005-01-12,1.6023073606426514,2.1165878749175233
2005-01-13,1.5665613228201452,2.080663989629196
2005-01-14,1.5433095900925775,2.0719382206891948
2005-01-15,1.5433095900925775,2.0719382206891948
2005-01-16,1.5433095900925775,2.0719382206891948
2005-01-17,1.2292780459344796,1.821446404882331
2005-01-18,1.4207994228939165,2.0073391063013397
2005-01-19,1.2365913673719653,2.006558855353035
2005-01-20,1.5216519085875573,2.186707591731986
2005-01-21,1.3753489077059853,2.002854911466073
2005-01-22,0.7039810914503646,1.6979789175264215
2005-01-23,0.7039810914503646,1.6979789175264215
2005-01-24,1.5616176366208474,2.1463388419426908
2005-01-25,1.2225084195462563,2.0211745924575544
2005-01-26,1.3967039054844448,2.01192070605535
2005-01-27,1.5453925538982325,2.0327210693375566
2005-01-28,1.4593307015218668,2.077073675501869
2005-01-29,1.4593307015218668,2.077073675501869
2005-01-30,1.4593307015218668,2.077073675501869
2005-01-31,1.5016853639198997,2.081366574760368
2005-02-01,1.4957477925902425,2.159297502846585
2005-02-02,1.5653076747864627,2.1274949234595493
2005-02-03,1.536388742592507,2.1732809047444523
2005-02-04,1.445165956360301,2.0689782486554016
2005-02-05,1.445165956360301,2.0689782486554016
2005-02-06,1.445165956360301,2.0689782486554016
2005-02-07,1.6019936321095511,2.1133678747007685
2005-02-08,1.5037423260834848,2.17473593059015
2005-02-09,1.518205345157318,2.0872832883653407
2005-02-10,1.3011049269773949,1.9773321803802266
2005-02-11,1.2623044203412426,1.9287030044200228
2005-02-12,1.2623044203412426,1.9287030044200228
2005-02-13,1.2623044203412426,1.9287030044200228
2005-02-14,1.3852845591108025,2.0258099811285386
2005-02-15,1.4032153421197329,2.023960769897577
2005-02-16,1.4740256246032553,2.0651727960375825
2005-02-17,1.361465771018565,1.9986202998379197
2005-02-18,1.4491740012083631,1.9988784756461293
2005-02-19,0.3922111602280503,1.0136987858929718
2005-02-20,1.5101517398069353,1.790454658233681
2005-02-21,1.2871562748526162,1.8440479225780533
2005-02-22,1.3540314278878045,2.0670820913608146
2005-02-23,1.1901985487413271,1.9897469710924411
2005-02-24,1.4864940085756717,2.058340396423348
2005-02-25,1.4762314963483087,2.038695556250577
2005-02-26,1.4762314963483087,2.038695556250577
2005-02-27,1.2440412213159449,1.3286228429088247
2005-02-28,1.3947951643884093,2.051636324798122
2005-03-01,1.4666739738468668,2.0874267827173747
2005-03-02,1.3123419260930522,2.047314747012161
2005-03-03,1.3254755277922672,1.9470933345556498
2005-03-04,1.4417298303929982,2.0605706493985547
2005-03-05,0.4676931662040673,1.151963978931863
2005-03-06,0.8308591734317436,1.1244138383708149
2005-03-07,1.4412482755592841,2.041703928712597
2005-03-08,1.3337112660841275,2.068731278759928
2005-03-09,1.4414516074486727,2.1089208907686845
