,dates
355,1994-12-09
356,1994-11-09
357,1994-10-12
358,1994-09-12
359,1994-08-11
360,1994-07-12
361,1994-06-09
362,1994-05-10
363,1994-04-12
364,1994-03-10
365,1994-02-10
366,1994-01-12
367,1993-12-09
368,1993-11-09
369,1993-10-12
370,1993-09-09
371,1993-08-11
372,1993-07-12
373,1993-06-10
374,1993-05-11
375,1993-04-12
376,1993-03-10
377,1993-02-10
378,1993-01-12
379,1992-12-10
380,1992-11-10
381,1992-10-08
382,1992-09-10
383,1992-08-12
384,1992-07-09
385,1992-06-10
386,1992-05-11
387,1992-04-10
388,1992-03-11
389,1992-02-11
390,1992-01-13
391,1991-12-11
392,1991-11-12
393,1991-10-10
394,1991-09-12
395,1991-08-12
396,1991-07-11
397,1991-06-11
398,1991-05-09
399,1991-04-10
400,1991-03-11
401,1991-02-11
402,1991-01-11
403,1990-12-11
404,1990-11-08
405,1990-10-11
406,1990-09-12
407,1990-08-09
408,1990-07-12
409,1990-06-12
410,1990-05-10
411,1990-04-10
412,1990-03-09
413,1990-02-09
414,1990-01-11
415,1989-12-12
416,1989-11-09
417,1989-10-12
418,1989-09-12
419,1989-08-10
420,1989-07-12
421,1989-06-12
422,1989-05-11
423,1989-04-11
424,1989-03-09
425,1989-02-09
426,1989-01-13
427,1988-12-12
428,1988-11-09
429,1988-10-12
430,1988-09-12
431,1988-08-11
432,1988-07-12
433,1988-06-09
434,1988-05-10
435,1988-04-11
436,1988-03-09
437,1988-02-09
438,1988-01-14
439,1987-12-10
440,1987-11-10
441,1987-11-09
442,1987-10-08
443,1987-09-10
444,1987-08-11
445,1987-07-09
446,1987-06-09
447,1987-05-11
448,1987-04-09
449,1987-03-09
450,1987-02-09
451,1987-01-15
452,1986-12-10
453,1986-11-10
454,1986-10-10
455,1986-09-11
456,1986-08-12
457,1986-07-11
458,1986-06-10
459,1986-05-09
460,1986-04-10
461,1986-03-10
462,1986-02-10
463,1986-01-10
464,1985-12-10
465,1985-11-12
466,1985-10-10
467,1985-09-11
468,1985-08-12
469,1985-07-10
470,1985-06-10
471,1985-05-10
472,1985-04-10
473,1985-03-11
474,1985-02-11
475,1985-01-11
476,1984-12-11
477,1984-11-13
478,1984-10-24
479,1984-10-12
480,1984-09-13
481,1984-08-13
482,1984-07-11
483,1984-06-22
484,1984-06-12
485,1984-05-10
486,1984-04-24
487,1984-04-10
488,1984-03-12
489,1984-02-21
490,1984-02-13
491,1984-01-24
492,1984-01-16
493,1983-12-13
494,1983-11-14
495,1983-10-25
496,1983-10-13
497,1983-09-13
498,1983-08-12
499,1983-07-13
500,1983-06-23
501,1983-06-13
502,1983-05-11
503,1983-04-22
504,1983-04-12
505,1983-03-23
506,1983-03-11
507,1983-02-14
508,1983-01-24
509,1983-01-14
510,1982-12-13
511,1982-11-12
512,1982-10-22
513,1982-10-13
514,1982-09-13
515,1982-08-12
516,1982-07-13
517,1982-06-23
518,1982-06-11
519,1982-05-11
520,1982-04-23
521,1982-04-13
522,1982-03-11
523,1982-02-11
524,1982-01-26
525,1982-01-18
526,1981-12-11
527,1981-11-13
528,1981-10-23
529,1981-10-13
530,1981-09-14
531,1981-08-13
532,1981-07-13
533,1981-06-30
534,1981-06-11
535,1981-05-12
536,1981-04-24
537,1981-04-10
538,1981-03-11
539,1981-02-12
540,1981-01-27
541,1981-01-15
542,1980-12-11
543,1980-11-12
544,1980-10-24
545,1980-10-14
546,1980-09-12
547,1980-08-12
548,1980-07-14
549,1980-06-23
550,1980-05-12
551,1980-04-25
552,1980-04-11
553,1980-03-11
554,1980-02-12
555,1980-01-28
556,1980-01-16
557,1980-01-09
558,1979-12-12
559,1979-11-13
560,1979-10-24
561,1979-10-15
562,1979-09-13
563,1979-08-13
564,1979-07-13
565,1979-06-22
566,1979-06-12
567,1979-05-11
568,1979-04-24
569,1979-03-07
570,1979-02-09
571,1979-01-26
572,1979-01-12
573,1978-12-11
574,1978-11-13
575,1978-10-24
576,1978-10-12
577,1978-09-21
578,1978-09-14
579,1978-08-11
580,1978-07-12
581,1978-06-23
582,1978-05-17
583,1978-04-21
584,1978-03-15
585,1978-02-27
586,1978-01-26
587,1977-12-12
588,1977-11-11
589,1977-11-03
590,1977-10-26
591,1977-10-13
592,1977-09-30
593,1977-09-13
594,1977-08-12
595,1977-07-13
596,1977-06-24
597,1977-06-09
598,1977-05-17
599,1977-05-11
600,1977-04-22
601,1977-03-22
602,1977-01-26
603,1976-12-13
604,1976-11-11
605,1976-10-22
606,1976-10-13
607,1976-09-13
608,1976-08-13
609,1976-07-30
610,1976-07-13
611,1976-06-23
612,1976-06-10
613,1976-05-11
614,1976-04-23
615,1976-03-09
616,1976-01-26
617,1975-12-11
618,1975-11-11
619,1975-10-28
620,1975-10-14
621,1975-09-12
622,1975-08-12
623,1975-07-25
624,1975-07-11
625,1975-06-11
626,1975-04-25
627,1975-03-18
628,1975-01-27
629,1975-01-17
630,1974-12-11
631,1974-11-11
632,1974-10-25
633,1974-10-11
634,1974-09-12
635,1974-08-13
636,1974-07-25
637,1974-07-12
638,1974-06-24
639,1974-06-11
640,1974-05-09
641,1974-04-25
642,1974-03-15
643,1974-01-25
644,1974-01-23
645,1974-01-17
646,1973-12-27
647,1973-12-13
648,1973-11-14
649,1973-10-29
650,1973-10-17
651,1973-09-17
