Dates,usdacmecftc
2005-01-13,1.5498260458782016
2005-01-14,1.5498260458782016
2005-01-15,1.5498260458782016
2005-01-16,1.5498260458782016
2005-01-17,1.5498260458782016
2005-01-18,1.5498260458782016
2005-01-19,1.5498260458782016
2005-01-20,1.5498260458782016
2005-01-21,1.5498260458782016
2005-01-22,1.5498260458782016
2005-01-23,1.5498260458782016
2005-01-24,1.5498260458782016
2005-01-25,1.5498260458782016
2005-01-26,1.5498260458782016
2005-01-27,1.5498260458782016
2005-01-28,1.5498260458782016
2005-01-29,1.5498260458782016
2005-01-30,2.070024937273266
2005-01-31,2.070024937273266
2005-02-01,2.070024937273266
2005-02-02,2.070024937273266
2005-02-03,2.070024937273266
2005-02-04,2.070024937273266
2005-02-05,2.070024937273266
2005-02-06,2.070024937273266
2005-02-07,2.070024937273266
2005-02-08,2.070024937273266
2005-02-09,2.070024937273266
2005-02-10,2.070024937273266
2005-02-11,2.0844930052368578
2005-02-12,2.0844930052368578
2005-02-13,2.0844930052368578
2005-02-14,2.0844930052368578
2005-02-15,2.0844930052368578
2005-02-16,2.0844930052368578
2005-02-17,2.0844930052368578
2005-02-18,2.0844930052368578
2005-02-19,2.0844930052368578
2005-02-20,2.0844930052368578
2005-02-21,2.0844930052368578
2005-02-22,2.0844930052368578
2005-02-23,2.0844930052368578
2005-02-24,2.0844930052368578
2005-02-25,2.0844930052368578
2005-02-26,2.0844930052368578
2005-02-27,2.0844930052368578
2005-02-28,2.0844930052368578
2005-03-01,2.0844930052368578
2005-03-02,2.0844930052368578
2005-03-03,2.0844930052368578
2005-03-04,2.0844930052368578
2005-03-05,2.0844930052368578
2005-03-06,2.0844930052368578
2005-03-07,2.0844930052368578
2005-03-08,2.0844930052368578
2005-03-09,2.0844930052368578
2005-03-10,2.0844930052368578
2005-03-11,2.0844930052368578
2005-03-12,2.0844930052368578
2005-03-13,2.0844930052368578
2005-03-14,2.0844930052368578
2005-03-15,2.0844930052368578
2005-03-16,2.0844930052368578
2005-03-17,2.0844930052368578
2005-03-18,2.0844930052368578
2005-03-19,2.0844930052368578
2005-03-20,2.0844930052368578
2005-03-21,2.0844930052368578
2005-03-22,2.0844930052368578
2005-03-23,2.0844930052368578
2005-03-24,2.0844930052368578
2005-03-25,2.0844930052368578
2005-03-26,2.0844930052368578
2005-03-27,2.0844930052368578
2005-03-28,2.0844930052368578
2005-03-29,2.0844930052368578
2005-03-30,2.0844930052368578
2005-03-31,2.0844930052368578
2005-04-01,2.0844930052368578
2005-04-02,2.0844930052368578
2005-04-03,2.0844930052368578
2005-04-04,2.0844930052368578
2005-04-05,2.0844930052368578
2005-04-06,2.0844930052368578
2005-04-07,2.0844930052368578
2005-04-08,2.0844930052368578
2005-04-09,2.0844930052368578
2005-04-10,2.0844930052368578
2005-04-11,2.0844930052368578
2005-04-12,2.0844930052368578
2005-04-13,2.0844930052368578
2005-04-14,2.0844930052368578
2005-04-15,2.0844930052368578
2005-04-16,2.0844930052368578
2005-04-17,2.0844930052368578
2005-04-18,2.0844930052368578
2005-04-19,2.0844930052368578
2005-04-20,2.0844930052368578
2005-04-21,2.0844930052368578
2005-04-22,2.0844930052368578
2005-04-23,2.0844930052368578
2005-04-24,2.0844930052368578
2005-04-25,2.0844930052368578
2005-04-26,2.0844930052368578
2005-04-27,2.0844930052368578
2005-04-28,2.0844930052368578
2005-04-29,2.0844930052368578
2005-04-30,2.0844930052368578
2005-05-01,2.0844930052368578
2005-05-02,2.0844930052368578
2005-05-03,2.0844930052368578
2005-05-04,2.0844930052368578
2005-05-05,1.8862498845716464
2005-05-06,1.8862498845716464
2005-05-07,1.8862498845716464
2005-05-08,1.8862498845716464
2005-05-09,1.8862498845716464
2005-05-10,1.8862498845716464
2005-05-11,1.8862498845716464
2005-05-12,1.8862498845716464
2005-05-13,1.8862498845716464
2005-05-14,1.8862498845716464
2005-05-15,1.8862498845716464
2005-05-16,1.8862498845716464
2005-05-17,1.8862498845716464
2005-05-18,1.8862498845716464
2005-05-19,1.8862498845716464
2005-05-20,1.8862498845716464
2005-05-21,1.8862498845716464
2005-05-22,1.8862498845716464
2005-05-23,1.8862498845716464
2005-05-24,1.8862498845716464
2005-05-25,1.8862498845716464
2005-05-26,1.8862498845716464
2005-05-27,1.8862498845716464
2005-05-28,1.8862498845716464
2005-05-29,1.8862498845716464
2005-05-30,1.8862498845716464
2005-05-31,1.7097300596009009
2005-06-01,1.7097300596009009
2005-06-02,1.7097300596009009
2005-06-03,1.7097300596009009
2005-06-04,1.7097300596009009
2005-06-05,1.7097300596009009
2005-06-06,1.7097300596009009
2005-06-07,1.7097300596009009
2005-06-08,1.7097300596009009
2005-06-09,1.7097300596009009
2005-06-10,1.7097300596009009
2005-06-11,1.7097300596009009
2005-06-12,1.7097300596009009
2005-06-13,1.7097300596009009
2005-06-14,1.7097300596009009
2005-06-15,1.7097300596009009
2005-06-16,1.7097300596009009
2005-06-17,1.7097300596009009
2005-06-18,1.7097300596009009
2005-06-19,1.7097300596009009
2005-06-20,1.7097300596009009
2005-06-21,1.7097300596009009
2005-06-22,1.7097300596009009
2005-06-23,1.7097300596009009
2005-06-24,1.7097300596009009
2005-06-25,1.7097300596009009
2005-06-26,1.7097300596009009
2005-06-27,1.7097300596009009
2005-06-28,1.7097300596009009
2005-06-29,1.7097300596009009
2005-06-30,1.7097300596009009
2005-07-01,1.7097300596009009
2005-07-02,1.7097300596009009
2005-07-03,1.7097300596009009
2005-07-04,1.7097300596009009
2005-07-05,1.7097300596009009
2005-07-06,1.7097300596009009
2005-07-07,1.7097300596009009
2005-07-08,1.7097300596009009
2005-07-09,1.7097300596009009
2005-07-10,1.7097300596009009
2005-07-11,1.7097300596009009
2005-07-12,1.7097300596009009
2005-07-13,1.6640414763452671
2005-07-14,1.6640414763452671
2005-07-15,1.6640414763452671
2005-07-16,1.6640414763452671
2005-07-17,1.6640414763452671
2005-07-18,1.6640414763452671
2005-07-19,1.6640414763452671
2005-07-20,1.6640414763452671
2005-07-21,1.6640414763452671
2005-07-22,1.6640414763452671
2005-07-23,1.6640414763452671
2005-07-24,1.6640414763452671
2005-07-25,1.6640414763452671
2005-07-26,1.6640414763452671
2005-07-27,1.6640414763452671
2005-07-28,1.6640414763452671
2005-07-29,1.6640414763452671
2005-07-30,1.6640414763452671
2005-07-31,1.6640414763452671
