,dates
0,2016-01-12
1,2015-01-12
2,2014-01-10
3,2013-01-11
4,2012-01-12
5,2011-01-12
6,2010-01-12
7,2009-01-12
8,2008-01-11
9,2007-01-12
10,2006-01-12
11,2005-01-12
12,2004-01-12
13,2003-01-10
14,2002-01-11
15,2001-01-11
16,2000-01-12
