,dates
355,1993-04-12
356,1993-03-10
357,1993-02-10
358,1993-01-12
359,1992-12-10
360,1992-11-10
361,1992-10-08
362,1992-09-10
363,1992-08-12
364,1992-07-09
365,1992-06-10
366,1992-05-11
367,1992-04-10
368,1992-03-11
369,1992-02-11
370,1992-01-10
371,1991-12-11
372,1991-11-12
373,1991-10-10
374,1991-09-12
375,1991-08-12
376,1991-07-11
377,1991-06-11
378,1991-05-09
379,1991-04-10
380,1991-03-11
381,1991-02-11
382,1991-01-11
383,1990-12-11
384,1990-11-08
385,1990-10-11
386,1990-09-12
387,1990-08-09
388,1990-07-12
389,1990-06-12
390,1990-05-10
391,1990-04-10
392,1990-03-09
393,1990-02-09
394,1990-01-11
395,1989-12-12
396,1989-11-09
397,1989-10-12
398,1989-09-12
399,1989-08-10
400,1989-07-12
401,1989-06-12
402,1989-05-11
403,1989-04-11
404,1989-03-09
405,1989-02-09
406,1989-01-11
407,1988-12-12
408,1988-11-09
409,1988-10-12
410,1988-09-12
411,1988-08-11
412,1988-07-12
413,1988-06-09
414,1988-05-10
415,1988-04-11
416,1988-03-09
417,1988-02-09
418,1988-01-11
419,1987-12-10
420,1987-11-09
421,1987-10-08
422,1987-09-10
423,1987-08-11
424,1987-07-09
425,1987-06-09
426,1987-05-11
427,1987-04-09
428,1987-03-09
429,1987-02-09
430,1987-01-12
431,1986-12-10
432,1986-11-10
433,1986-10-10
434,1986-09-11
435,1986-08-12
436,1986-07-11
437,1986-06-10
438,1986-05-09
439,1986-04-10
440,1986-03-10
441,1986-02-10
442,1986-01-10
443,1985-12-10
444,1985-11-12
445,1985-10-10
446,1985-09-11
447,1985-08-12
448,1985-07-10
449,1985-06-10
450,1985-05-10
451,1985-04-10
452,1985-03-11
453,1985-02-11
454,1985-01-11
455,1985-01-01
456,1984-12-10
457,1984-11-09
458,1984-10-11
459,1984-09-12
460,1984-08-10
461,1984-07-10
462,1984-06-11
463,1984-05-09
464,1984-04-09
465,1984-03-09
466,1984-02-10
467,1984-01-11
468,1983-12-22
469,1983-12-12
470,1983-11-10
471,1983-10-12
472,1983-09-12
473,1983-08-11
474,1983-07-12
475,1983-06-10
476,1983-05-10
477,1983-04-11
478,1983-03-10
479,1983-02-10
480,1983-01-11
481,1982-12-22
482,1982-12-10
483,1982-11-10
484,1982-10-12
485,1982-09-10
486,1982-08-11
487,1982-07-12
488,1982-06-10
489,1982-05-10
