,dates
0,2021-09-30
1,2020-09-30
2,2019-09-30
3,2018-09-28
4,2017-09-29
5,2016-09-30
6,2015-09-30
7,2014-09-30
8,2013-09-30
9,2012-09-28
10,2011-09-30
11,2010-09-30
12,2009-09-30
13,2008-09-30
14,2007-09-28
15,2006-09-29
16,2005-10-03
17,2004-09-30
18,2003-09-30
19,2002-09-30
20,2001-10-01
21,2000-09-29
22,1999-09-30
23,1998-09-30
24,1997-09-30
25,1996-09-30
26,1995-09-29
27,1994-09-01
